COLOR,W1,W2,W3,W4,W5,version
G,491.984227413862,263.026494254502,49999995.35584939,222.95033507828185,222.95033507828185,10
B,497.4345400990736,253.60374513028526,49999996.74537561,207.6072981038739,207.6072981038739,10
R,493.98248853190796,265.48054920789565,49999996.06357382,218.76443878731163,218.76443878731163,11
G,491.984227413862,263.026494254502,49999995.35584939,222.95033507828185,222.95033507828185,11
B,497.4345400990736,253.60374513028526,49999996.74537561,207.6072981038739,207.6072981038739,11
R,493.98248853190796,265.48054920789565,49999996.06357382,218.76443878731163,218.76443878731163,12
G,491.984227413862,263.026494254502,49999995.35584939,222.95033507828185,222.95033507828185,12
B,497.4345400990736,253.60374513028526,49999996.74537561,207.6072981038739,207.6072981038739,12
R,493.98248853190796,265.48054920789565,49999996.06357382,218.76443878731163,218.76443878731163,13
G,491.984227413862,263.026494254502,49999995.35584939,222.95033507828185,222.95033507828185,13
B,497.4345400990736,253.60374513028526,49999996.74537561,207.6072981038739,207.6072981038739,13
R,493.98248853190796,265.48054920789565,49999996.06357382,218.76443878731163,218.76443878731163,14
G,491.984227413862,263.026494254502,49999995.35584939,222.95033507828185,222.95033507828185,14
B,497.4345400990736,253.60374513028526,49999996.74537561,207.6072981038739,207.6072981038739,14
R,493.3183606039505,266.796457091208,49999996.06357382,219.80223418925186,219.80223418925186,15
G,491.3695087031152,264.21245320682704,49999995.35584939,224.09827658674143,224.09827658674143,15
B,496.62438550881654,254.7653864913765,49999996.74537561,208.6063309573096,208.6063309573096,15
R,492.33842512313805,267.53366791412293,49999996.06357382,220.7913338850312,220.7913338850312,16
G,490.6843884514329,265.3616816842812,49999995.35584939,225.83248621141655,225.83248621141655,16
B,496.44529596477713,256.4200008070813,49999996.58032376,210.67578913110276,210.67578913110276,16
R,491.358492697344,268.27077674736336,49999996.06357382,221.78023602518445,221.78023602518445,17
G,489.99926764829974,266.51091097347046,49999995.35584939,227.56669711834937,227.56669711834937,17
B,496.2662057064032,258.07461655145505,49999996.41527192,212.7452486962944,212.7452486962944,17
G,489.74494044931015,266.13864538129445,49999995.35584939,227.24678018013057,227.24678018013057,18
R,490.0540357618873,270.5284525359629,49999995.73507382,224.48966980882244,224.48966980882244,18
B,495.699655488492,260.91000078882166,49999995.42051533,215.42233333093216,215.42233333093216,18
B,495.6998074469962,260.9096968734147,49999995.42051533,215.42202896235352,215.42202896235352,19
R,488.56817484232727,273.2370988865073,49999995.73507382,228.39732260216118,228.39732260216118,19
G,488.31065549293413,268.81883877698,49999994.45585105,231.21743805034745,231.21743805034745,19
R,488.571923591612,273.12317527283096,49999995.73507382,228.1767456676337,228.1767456676337,20
G,487.34358693872497,272.4166439202961,49999994.45585105,232.89620288289746,232.89620288289746,20
B,495.1577257326709,264.9283651871404,49999994.92053143,217.8672742951101,217.8672742951101,20
B,495.15790829657027,264.92802329780625,49999994.92053143,217.86696179277058,217.86696179277058,21
R,486.1345129216208,275.6891002778732,49999995.48007382,229.92569805325238,229.92569805325238,21
G,485.3610447163271,275.49771084362914,49999994.45585105,237.06220027964787,237.06220027964787,21
B,495.1581075416955,264.92768174060643,49999994.92053143,217.86659754960826,217.86659754960826,22
R,484.3463276166317,277.78603126088507,49999995.00025062,235.61059839433742,235.61059839433742,22
G,483.70229127013647,277.7236900405556,49999993.95666526,240.60679420310692,240.60679420310692,22
B,495.158330591661,264.92736435721326,49999994.92053143,217.86623924643303,217.86623924643303,23
R,483.5344977020301,280.7803481069824,49999994.51013726,238.53699408197033,238.53699408197033,23
G,481.63492498499414,279.55145264651344,49999993.62816525,243.2542753016877,243.2542753016877,23
G,481.63512568143784,279.5511729892838,49999993.62816525,243.25395915752597,243.25395915752597,24
R,481.32145741543746,282.4087727612534,49999993.79631441,240.19091314242263,240.19091314242263,24
B,494.59830493855975,268.3314984684016,49999994.42110138,220.30019601347058,220.30019601347058,24
